,LOCATION_GU,PLACE_ID,PLACE_NAME,BIKE_HOLDER_COUNT,LATITUDE,LONGTITUDE
83,강남구,2344, 리엔파크 단지 앞,10,37.465061,127.101196
84,강남구,2324, 천주교 대치 동 교회 옆,10,37.500439,127.066223
85,강남구,2376, 수서역 번출구 앞,20,37.486778,127.100517
86,강남구,2398, 더라움,10,37.508109999999995,127.039452
87,강남구,2321, 학여울역 사거리,10,37.496117,127.06944299999999
88,강남구,2372, 대치역 사거리,10,37.494499,127.063797
89,강남구,2393, 구룡사 앞 교차로 (보도육교),10,37.472,127.05133799999999
90,강남구,2318, 삼성중앙역번출구(문화센터더 리빌),15,37.513577000000005,127.055031
91,강남구,2382, 역삼동 sk뷰 동앞,11,37.501343,127.050468
92,강남구,2370, 한티역 번출구,20,37.496552,127.054298
93,강남구,2390, 구룡마을 입구 (래미안블레스티지 아파트),10,37.479568,127.064774
94,강동구,1017, 맥도날드(길동),20,37.535472999999996,127.145172
95,강동구,1054, 말우물 어린이 공원,10,37.560009,127.169579
96,강동구,1059, 레미안 강동팰리스(동),15,37.538181,127.131752
97,강동구,1013, 강동구청역 번 출입구,15,37.530772999999996,127.120926
98,강동구,1049, 강일동 단지 아파트,10,37.56118,127.18026699999999
99,강동구,1062, 고덕숲 아이파크 ,15,37.551079,127.162621
100,강동구,1010, 강동세무서,20,37.534481,127.13834399999999
101,강동구,1040, 강일동 에너지 마루,10,37.5672,127.16346000000001
102,강동구,1047, 건강보험 강동지사kt,10,37.536381,127.137253
103,강동구,1007,암사동 선사유적지,16,37.559063,127.130646
104,강동구,1037, 강일 단지,10,37.562588,127.17761200000001
105,강동구,1003, 해공도서관앞,20,37.543915000000005,127.12545800000001
106,강동구,1034, 고덕동 래미안 힐스테이트,15,37.561909,127.150749
107,강동구,1032, 선사고등학교,20,37.556728,127.13620800000001
108,강동구,1029, 롯데 시네마,10,37.536541,127.12539699999999
109,강동구,1026, 대명초교 입구 교차로,14,37.546631,127.15588400000001
110,강동구,1050,  둔촌역 번 출입구,15,37.526695000000004,127.135529
111,강동구,1023, 한국종합기술사옥 앞,15,37.549999,127.17468999999998
112,강동구,1018, 둔촌 주공 GS 맞은편,20,37.524681,127.135406
113,강동구,1020, 강동경찰서,15,37.528290000000005,127.126801
114,강동구,1057, 능골근린공원,15,37.55579,127.173813
115,강동구,1016, 해뜨는 주유소옆 리엔파크 동앞,10,37.559399,127.171158
116,강동구,1053, 동명근린공원 진입로 (아리수로),8,37.562538,127.164528
117,강동구,1015, 샛마을 근린공원,13,37.550079,127.14691200000001
118,강동구,1012, 서울 상운차량,15,37.536026,127.122726
119,강동구,1042, 강일 단지 사이,10,37.568562,127.177002
120,강동구,1048, 동부기업(둔촌동),10,37.531013,127.14236499999998
121,강동구,1061, 천호초교 입구 사거리(일주빌딩),10,37.546928,127.134621
122,강동구,1009, 천호역번출구(현대백화점),20,37.538658,127.124214
